Sector,Region,Year,Emissions_Mt
Net,Africa,1990,-1962.2440188439678
Net,Asia-Pacific Developed,1990,-70.58320245726054
Net,Eastern Asia,1990,-1380.81033821898
Net,Eurasia,1990,-848.9111019203891
Net,Europe,1990,-593.0529228336809
Net,Latin America and Caribbean,1990,934.0193643240032
Net,Middle East,1990,89.89885290150815
Net,North America,1990,-1721.0212101658576
Net,South-East Asia and developing Pacific,1990,1200.0076887183413
Net,Southern Asia,1990,829.2249634380892
Deforestation,Africa,1990,1641.98340258
Deforestation,Asia-Pacific Developed,1990,176.899425904087
Deforestation,Eastern Asia,1990,2.303
Deforestation,Eurasia,1990,18.8127623464528
Deforestation,Europe,1990,36.363822465416504
Deforestation,Latin America and Caribbean,1990,2464.825507
Deforestation,Middle East,1990,99.6917299999999
Deforestation,North America,1990,128.780501856806
Deforestation,South-East Asia and developing Pacific,1990,533.7878548
Deforestation,Southern Asia,1990,28.874991199999997
Fires,Africa,1990,125.899474020442
Fires,Asia-Pacific Developed,1990,312.082405063545
Fires,Eastern Asia,1990,141.13527530094
Fires,Eurasia,1990,413.942884926274
Fires,Europe,1990,44.203892202297595
Fires,Latin America and Caribbean,1990,78.7003857205633
Fires,Middle East,1990,2.56197012458276
Fires,North America,1990,195.11667186498
Fires,South-East Asia and developing Pacific,1990,1.0075121409512702
Fires,Southern Asia,1990,3.32052313870823
Forest Land,Africa,1990,-3767.38396544441
Forest Land,Asia-Pacific Developed,1990,-567.171809970801
Forest Land,Eastern Asia,1990,-1406.46781351992
Forest Land,Eurasia,1990,-1382.7777921677
Forest Land,Europe,1990,-705.868829195528
Forest Land,Latin America and Caribbean,1990,-1613.32638599656
Forest Land,Middle East,1990,-11.2863072230745
Forest Land,North America,1990,-1731.45281937235
Forest Land,South-East Asia and developing Pacific,1990,262.699361777391
Forest Land,Southern Asia,1990,936.504449099381
Organic Soil,Asia-Pacific Developed,1990,3.30483894890836
Organic Soil,Eurasia,1990,161.41807168758402
Organic Soil,Europe,1990,132.10440508109
Organic Soil,North America,1990,45.8450361847062
Organic Soil,South-East Asia and developing Pacific,1990,445.662199999999
Other,Africa,1990,37.25707
Other,Asia-Pacific Developed,1990,4.301937597
Other,Eastern Asia,1990,-117.7808
Other,Eurasia,1990,-60.307028713
Other,Europe,1990,-99.856213386957
Other,Latin America and Caribbean,1990,3.8198576000000197
Other,Middle East,1990,-1.06854
Other,North America,1990,-359.3106007
Other,South-East Asia and developing Pacific,1990,-43.14924
Other,Southern Asia,1990,-139.475
Net,EU27,1990,-395.3976001725518
Forest Land,EU27,1990,-465.6290321228913
Organic Soil,EU27,1990,101.447589324114
Deforestation,EU27,1990,25.7450717036098
Other,EU27,1990,-82.14667613738536
Fires,EU27,1990,25.18544706
Net,WORLD,1990,-3523.4404554416697
Forest Land,WORLD,1990,-9986.5
Organic Soil,WORLD,1990,788.33455190229
Deforestation,WORLD,1990,5132.32299815276
Other,WORLD,1990,-775.569
Fires,WORLD,1990,1317.97099450328
Net,Africa,1991,-1936.9490318808084
Net,Asia-Pacific Developed,1991,-51.289556611721885
Net,Eastern Asia,1991,-1385.6278086595582
Net,Eurasia,1991,-767.7817216771281
Net,Europe,1991,-722.1527870874876
Net,Latin America and Caribbean,1991,979.4906496926039
Net,Middle East,1991,93.97792159117645
Net,North America,1991,-1746.6380583271782
Net,South-East Asia and developing Pacific,1991,1195.1806402814211
Net,Southern Asia,1991,874.3625847265207
Deforestation,Africa,1991,1641.98340258
Deforestation,Asia-Pacific Developed,1991,163.185757761149
Deforestation,Eastern Asia,1991,2.303
Deforestation,Eurasia,1991,16.243131300002897
Deforestation,Europe,1991,34.678694436915094
Deforestation,Latin America and Caribbean,1991,2464.825507
Deforestation,Middle East,1991,99.6917299999999
Deforestation,North America,1991,128.890215180626
Deforestation,South-East Asia and developing Pacific,1991,533.7878548
Deforestation,Southern Asia,1991,28.874991199999997
Fires,Africa,1991,108.36267788012199
Fires,Asia-Pacific Developed,1991,354.05619723096
Fires,Eastern Asia,1991,138.691793549832
Fires,Eurasia,1991,438.05022784752003
Fires,Europe,1991,28.3244954742193
Fires,Latin America and Caribbean,1991,72.18595824444391
Fires,Middle East,1991,5.46649213201926
Fires,North America,1991,210.301687550183
Fires,South-East Asia and developing Pacific,1991,3.87168364790791
Fires,Southern Asia,1991,8.393178197821731
Forest Land,Africa,1991,-3724.5521823409304
Forest Land,Asia-Pacific Developed,1991,-568.105425831126
Forest Land,Eastern Asia,1991,-1408.8418022093902
Forest Land,Eurasia,1991,-1379.72852346555
Forest Land,Europe,1991,-832.9880344054341
Forest Land,Latin America and Caribbean,1991,-1561.34067315184
Forest Land,Middle East,1991,-10.1117605408427
Forest Land,North America,1991,-1766.2489618583
Forest Land,South-East Asia and developing Pacific,1991,255.008141833514
Forest Land,Southern Asia,1991,976.569415328699
Organic Soil,Asia-Pacific Developed,1991,3.33280957229517
Organic Soil,Eurasia,1991,160.279410671999
Organic Soil,Europe,1991,132.075123207333
Organic Soil,North America,1991,45.1263190003127
Organic Soil,South-East Asia and developing Pacific,1991,445.662199999999
Other,Africa,1991,37.25707
Other,Asia-Pacific Developed,1991,-3.758895345
Other,Eastern Asia,1991,-117.7808
Other,Eurasia,1991,-2.6259680311
Other,Europe,1991,-84.243065800521
Other,Latin America and Caribbean,1991,3.8198576000000197
Other,Middle East,1991,-1.06854
Other,North America,1991,-364.7073182
Other,South-East Asia and developing Pacific,1991,-43.14924
Other,Southern Asia,1991,-139.475
Net,EU27,1991,-505.8875251999122
Forest Land,EU27,1991,-589.7062911671701
Organic Soil,EU27,1991,101.237842432351
Deforestation,EU27,1991,25.226825118266202
Other,EU27,1991,-61.50559038336003
Fires,EU27,1991,18.8596888
Net,WORLD,1991,-3467.3874615343375
Forest Land,WORLD,1991,-10020.3
Organic Soil,WORLD,1991,786.475862451941
Deforestation,WORLD,1991,5114.46428425869
Other,WORLD,1991,-715.732
Fires,WORLD,1991,1367.70439175503
Net,Africa,1992,-1825.070047714154
Net,Asia-Pacific Developed,1992,-47.31915924900261
Net,Eastern Asia,1992,-1338.0502799166238
Net,Eurasia,1992,-796.058195775971
Net,Europe,1992,-712.6277973739734
Net,Latin America and Caribbean,1992,927.8950261223856
Net,Middle East,1992,90.24488789432894
Net,North America,1992,-1803.798842644406
Net,South-East Asia and developing Pacific,1992,1183.5870107745163
Net,Southern Asia,1992,885.6170636798719
Deforestation,Africa,1992,1641.98340258
Deforestation,Asia-Pacific Developed,1992,120.21709842855299
Deforestation,Eastern Asia,1992,2.303
Deforestation,Eurasia,1992,15.7947567302772
Deforestation,Europe,1992,34.9916738016832
Deforestation,Latin America and Caribbean,1992,2464.825507
Deforestation,Middle East,1992,99.6917299999999
Deforestation,North America,1992,128.960045335239
Deforestation,South-East Asia and developing Pacific,1992,533.7878548
Deforestation,Southern Asia,1992,28.874991199999997
Fires,Africa,1992,122.673040452496
Fires,Asia-Pacific Developed,1992,419.224902985899
Fires,Eastern Asia,1992,191.508689965566
Fires,Eurasia,1992,391.468923266046
Fires,Europe,1992,22.6388162992185
Fires,Latin America and Caribbean,1992,58.0760706163254
Fires,Middle East,1992,1.77277638693755
Fires,North America,1992,126.66055588002301
Fires,South-East Asia and developing Pacific,1992,3.65636400255015
Fires,Southern Asia,1992,6.85457551726496
Forest Land,Africa,1992,-3626.9835607466503
Forest Land,Asia-Pacific Developed,1992,-567.5468396827649
Forest Land,Eastern Asia,1992,-1414.08116988219
Forest Land,Eurasia,1992,-1378.0590539888801
Forest Land,Europe,1992,-825.445061139732
Forest Land,Latin America and Caribbean,1992,-1598.82640909394
Forest Land,Middle East,1992,-10.1510784926085
Forest Land,North America,1992,-1763.58726218761
Forest Land,South-East Asia and developing Pacific,1992,243.629831971967
Forest Land,Southern Asia,1992,989.362496962607
Organic Soil,Asia-Pacific Developed,1992,3.29166332431035
Organic Soil,Eurasia,1992,158.768147179586
Organic Soil,Europe,1992,131.145174924513
Organic Soil,North America,1992,45.3684582279418
Organic Soil,South-East Asia and developing Pacific,1992,445.662199999999
Other,Africa,1992,37.25707
Other,Asia-Pacific Developed,1992,-22.505984305000002
Other,Eastern Asia,1992,-117.7808
Other,Eurasia,1992,15.969031037
Other,Europe,1992,-75.958401259656
Other,Latin America and Caribbean,1992,3.8198576000000197
Other,Middle East,1992,-1.06854
Other,North America,1992,-341.2006399
Other,South-East Asia and developing Pacific,1992,-43.14924
Other,Southern Asia,1992,-139.475
Net,EU27,1992,-499.9329349090335
Forest Land,EU27,1992,-584.856485032013
Organic Soil,EU27,1992,100.579906552973
Deforestation,EU27,1992,23.7336991655869
Other,EU27,1992,-53.21350133700118
Fires,EU27,1992,13.82344574142
Net,WORLD,1992,-3435.5925810955696
Forest Land,WORLD,1992,-9951.7
Organic Soil,WORLD,1992,784.235643656351
Deforestation,WORLD,1992,5071.43005987575
Other,WORLD,1992,-684.093
Fires,WORLD,1992,1344.5347153723299
Net,Africa,1993,-1650.28358501695
Net,Asia-Pacific Developed,1993,269.16416360167835
Net,Eastern Asia,1993,-1391.008062657646
Net,Eurasia,1993,-1148.6235005862786
Net,Europe,1993,-730.8693295706186
Net,Latin America and Caribbean,1993,942.4355804230615
Net,Middle East,1993,91.10200457737041
Net,North America,1993,-1772.245041929632
Net,South-East Asia and developing Pacific,1993,1100.9349400989427
Net,Southern Asia,1993,901.0691804162892
Deforestation,Africa,1993,1641.98340258
Deforestation,Asia-Pacific Developed,1993,104.799764228012
Deforestation,Eastern Asia,1993,2.303
Deforestation,Eurasia,1993,15.5485795847293
Deforestation,Europe,1993,30.874044457770598
Deforestation,Latin America and Caribbean,1993,2464.825507
Deforestation,Middle East,1993,99.6917299999999
Deforestation,North America,1993,128.919027950215
Deforestation,South-East Asia and developing Pacific,1993,533.7878548
Deforestation,Southern Asia,1993,28.874991199999997
Fires,Africa,1993,193.62309412873998
Fires,Asia-Pacific Developed,1993,756.191262031342
Fires,Eastern Asia,1993,145.780569723684
Fires,Eurasia,1993,258.24956302275496
Fires,Europe,1993,15.5371693806588
Fires,Latin America and Caribbean,1993,50.7479413993917
Fires,Middle East,1993,2.24350843957471
Fires,North America,1993,149.294879478123
Fires,South-East Asia and developing Pacific,1993,7.64370137486255
Fires,Southern Asia,1993,7.73251894527912
Forest Land,Africa,1993,-3523.14715172569
Forest Land,Asia-Pacific Developed,1993,-567.112656315041
Forest Land,Eastern Asia,1993,-1421.3108323813299
Forest Land,Eurasia,1993,-1613.8259102181
Forest Land,Europe,1993,-836.508410091222
Forest Land,Latin America and Caribbean,1993,-1576.95772557633
Forest Land,Middle East,1993,-9.76469386220419
Forest Land,North America,1993,-1776.3452039859399
Forest Land,South-East Asia and developing Pacific,1993,156.990423924081
Forest Land,Southern Asia,1993,1003.93667027101
Organic Soil,Asia-Pacific Developed,1993,3.22955465336531
Organic Soil,Eurasia,1993,157.84818330633698
Organic Soil,Europe,1993,130.556414050412
Organic Soil,North America,1993,45.670790127969795
Organic Soil,South-East Asia and developing Pacific,1993,445.662199999999
Other,Africa,1993,37.25707
Other,Asia-Pacific Developed,1993,-27.943760996
Other,Eastern Asia,1993,-117.7808
Other,Eurasia,1993,33.556083718000004
Other,Europe,1993,-71.32854736823799
Other,Latin America and Caribbean,1993,3.8198576000000197
Other,Middle East,1993,-1.06854
Other,North America,1993,-319.7845355
Other,South-East Asia and developing Pacific,1993,-43.14924
Other,Southern Asia,1993,-139.475
Net,EU27,1993,-524.3023660478897
Forest Land,EU27,1993,-595.2198370462668
Organic Soil,EU27,1993,99.80132913809341
Deforestation,EU27,1993,25.436923545861
Other,EU27,1993,-63.554944593577396
Fires,EU27,1993,9.234162907999998
Net,WORLD,1993,-3388.277748136785
Forest Land,WORLD,1993,-10164.0
Organic Soil,WORLD,1993,782.967142138085
Deforestation,WORLD,1993,5051.60790180072
Other,WORLD,1993,-645.897
Fires,WORLD,1993,1587.04420792441
Net,Africa,1994,-1606.6011779469577
Net,Asia-Pacific Developed,1994,-102.6228538290494
Net,Eastern Asia,1994,-1430.34502169279
Net,Eurasia,1994,-1131.1841860195161
Net,Europe,1994,-687.2529731436938
Net,Latin America and Caribbean,1994,1066.0521131168148
Net,Middle East,1994,93.96249773611756
Net,North America,1994,-1646.9914454409009
