Sector,Region,Year,Emissions_Mt
Deforestation,Africa,1990,1333.0114825679
Fires,Africa,1990,606.66699176715
Forest Land,Africa,1990,-2417.664291707
Organic Soil,Africa,1990,58.749265022859
Other Land,Africa,1990,-138.82486419022
Deforestation,"Australia, Japan, and New Zealand",1990,14.760327365378
Fires,"Australia, Japan, and New Zealand",1990,332.67590411132
Forest Land,"Australia, Japan, and New Zealand",1990,-508.78050569779
Organic Soil,"Australia, Japan, and New Zealand",1990,10.729450575273
Other Land,"Australia, Japan, and New Zealand",1990,11.185098965911
Deforestation,Eastern Asia,1990,1.4294734735821
Fires,Eastern Asia,1990,158.73005755171
Forest Land,Eastern Asia,1990,-665.06174333695
Organic Soil,Eastern Asia,1990,26.042180501482
Other Land,Eastern Asia,1990,-179.37172427869
Deforestation,Eastern Europe and West-Central Asia,1990,0.11649163448193
Fires,Eastern Europe and West-Central Asia,1990,710.23174182567
Forest Land,Eastern Europe and West-Central Asia,1990,-1954.4326803018
Organic Soil,Eastern Europe and West-Central Asia,1990,129.79942938465
Other Land,Eastern Europe and West-Central Asia,1990,-40.538339829621
Deforestation,Europe,1990,1.0944800134732
Fires,Europe,1990,34.020376889471
Forest Land,Europe,1990,-559.40875947199
Organic Soil,Europe,1990,194.91970466557
Other Land,Europe,1990,20.006154317683
Deforestation,Latin America and Caribbean,1990,2978.1710473467
Fires,Latin America and Caribbean,1990,116.05960108453
Forest Land,Latin America and Caribbean,1990,-2584.2111276
Organic Soil,Latin America and Caribbean,1990,11.079262188695
Other Land,Latin America and Caribbean,1990,4.4464611493585
Deforestation,Middle East,1990,0.0026134822240509
Fires,Middle East,1990,3.0179984194643
Forest Land,Middle East,1990,-7.6357103031562
Other Land,Middle East,1990,-1.1644663420868
Deforestation,North America,1990,71.820354831878
Fires,North America,1990,231.46783785749
Forest Land,North America,1990,-497.99324682289
Organic Soil,North America,1990,92.720764404226
Other Land,North America,1990,-100.77168788957
Deforestation,South-East Asia and Pacific,1990,1247.1652972032
Fires,South-East Asia and Pacific,1990,76.617283371674
Forest Land,South-East Asia and Pacific,1990,-152.08999956494
Organic Soil,South-East Asia and Pacific,1990,473.23690289789
Other Land,South-East Asia and Pacific,1990,212.69166478282
Deforestation,Southern Asia,1990,22.411324776583
Fires,Southern Asia,1990,5.1606150098665
Forest Land,Southern Asia,1990,993.79235385943
Organic Soil,Southern Asia,1990,26.616307833241
Other Land,Southern Asia,1990,-0.079827982839102
Deforestation,Africa,1991,1333.0114825679
Fires,Africa,1991,401.65555039567
Forest Land,Africa,1991,-2385.4798108241
Organic Soil,Africa,1991,58.749265022859
Other Land,Africa,1991,-138.76132069542
Deforestation,"Australia, Japan, and New Zealand",1991,14.760327365378
Fires,"Australia, Japan, and New Zealand",1991,367.65191415195
Forest Land,"Australia, Japan, and New Zealand",1991,-509.50240746558
Organic Soil,"Australia, Japan, and New Zealand",1991,10.830776780504
Other Land,"Australia, Japan, and New Zealand",1991,9.2248245851101
Deforestation,Eastern Asia,1991,1.4294734735821
Fires,Eastern Asia,1991,155.50392805319
Forest Land,Eastern Asia,1991,-666.0632244842
Organic Soil,Eastern Asia,1991,26.042180501482
Other Land,Eastern Asia,1991,-179.37172427869
Deforestation,Eastern Europe and West-Central Asia,1991,0.11649163448193
Fires,Eastern Europe and West-Central Asia,1991,727.66429403726
Forest Land,Eastern Europe and West-Central Asia,1991,-1951.7691673241
Organic Soil,Eastern Europe and West-Central Asia,1991,127.37867242423
Other Land,Eastern Europe and West-Central Asia,1991,29.699689641548
Deforestation,Europe,1991,1.0944800134732
Fires,Europe,1991,25.60421252544
Forest Land,Europe,1991,-684.35372113836
Organic Soil,Europe,1991,195.43546602741
Other Land,Europe,1991,49.857266059256
Deforestation,Latin America and Caribbean,1991,2978.1710473467
Fires,Latin America and Caribbean,1991,99.460829619785
Forest Land,Latin America and Caribbean,1991,-2549.0011865847
Organic Soil,Latin America and Caribbean,1991,11.079262188695
Other Land,Latin America and Caribbean,1991,12.971558829808
Deforestation,Middle East,1991,0.0026134822240509
Fires,Middle East,1991,6.3013168472988
Forest Land,Middle East,1991,-5.5885291260812
Other Land,Middle East,1991,-1.1644663420868
Deforestation,North America,1991,71.820354831878
Fires,North America,1991,243.56823524873
Forest Land,North America,1991,-540.38857112756
Organic Soil,North America,1991,92.920870017537
Other Land,North America,1991,-126.76631580921
Deforestation,South-East Asia and Pacific,1991,1247.1652972032
Fires,South-East Asia and Pacific,1991,171.6447891002
Forest Land,South-East Asia and Pacific,1991,-129.18111171577
Organic Soil,South-East Asia and Pacific,1991,473.23690289789
Other Land,South-East Asia and Pacific,1991,211.59463297699
Deforestation,Southern Asia,1991,22.411324776583
Fires,Southern Asia,1991,12.965500339127
Forest Land,Southern Asia,1991,1021.1885498855
Organic Soil,Southern Asia,1991,26.616307833241
Other Land,Southern Asia,1991,-0.079827982839102
Deforestation,Africa,1992,1333.0114825679
Fires,Africa,1992,448.85770437158
Forest Land,Africa,1992,-2345.6985685975
Organic Soil,Africa,1992,58.749265022859
Other Land,Africa,1992,-138.45536004739
Deforestation,"Australia, Japan, and New Zealand",1992,14.760327365378
Fires,"Australia, Japan, and New Zealand",1992,426.24900980562
Forest Land,"Australia, Japan, and New Zealand",1992,-509.56628378158
Organic Soil,"Australia, Japan, and New Zealand",1992,10.718144127439
Other Land,"Australia, Japan, and New Zealand",1992,0.49993156934815
Deforestation,Eastern Asia,1992,1.4294734735821
Fires,Eastern Asia,1992,205.89985722484
Forest Land,Eastern Asia,1992,-663.8995704342
Organic Soil,Eastern Asia,1992,26.042180501482
Other Land,Eastern Asia,1992,-179.37172427869
Deforestation,Eastern Europe and West-Central Asia,1992,0.11649163448193
Fires,Eastern Europe and West-Central Asia,1992,698.78506685052
Forest Land,Eastern Europe and West-Central Asia,1992,-1950.1970126902
Organic Soil,Eastern Europe and West-Central Asia,1992,122.59424220563
Other Land,Eastern Europe and West-Central Asia,1992,29.381874433286
Deforestation,Europe,1992,1.0944800134732
Fires,Europe,1992,22.258747655651
Forest Land,Europe,1992,-685.1570882661
Organic Soil,Europe,1992,196.0480184378
Other Land,Europe,1992,64.207426837859
Deforestation,Latin America and Caribbean,1992,2978.1710473467
Fires,Latin America and Caribbean,1992,97.048565306937
Forest Land,Latin America and Caribbean,1992,-2593.7298972212
Organic Soil,Latin America and Caribbean,1992,11.079262188695
Other Land,Latin America and Caribbean,1992,9.2182228793267
Deforestation,Middle East,1992,0.0026134822240509
Fires,Middle East,1992,1.9795542721675
Forest Land,Middle East,1992,-5.8739670864819
Other Land,Middle East,1992,-1.1644663420868
Deforestation,North America,1992,71.820354831878
Fires,North America,1992,156.41480286125
Forest Land,North America,1992,-523.74433706438
Organic Soil,North America,1992,93.052596670965
Other Land,North America,1992,-122.40955806442
Deforestation,South-East Asia and Pacific,1992,1247.1652972032
Fires,South-East Asia and Pacific,1992,180.5369733214
Forest Land,South-East Asia and Pacific,1992,-116.7427238282
Organic Soil,South-East Asia and Pacific,1992,473.23690289789
Other Land,South-East Asia and Pacific,1992,215.49828453686
Deforestation,Southern Asia,1992,22.411324776583
Fires,Southern Asia,1992,9.209482397804
Forest Land,Southern Asia,1992,1033.5027780372
Organic Soil,Southern Asia,1992,26.616307833241
Other Land,Southern Asia,1992,-0.079827982839102
Deforestation,Africa,1993,1333.0114825679
Fires,Africa,1993,635.50713489201
Forest Land,Africa,1993,-2304.985858009
Organic Soil,Africa,1993,58.748877592806
Other Land,Africa,1993,-138.36258730431
Deforestation,"Australia, Japan, and New Zealand",1993,14.760327365378
Fires,"Australia, Japan, and New Zealand",1993,769.51569412345
Forest Land,"Australia, Japan, and New Zealand",1993,-509.85878720362
Organic Soil,"Australia, Japan, and New Zealand",1993,10.540139994243
